,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
76,76,Quatre Cocos,MU,-20.2078,57.7625,81.09,83,100,9.64,light rain
77,77,Ahlat,TR,38.7518,42.4814,9.03,69,9,6.04,clear sky
78,78,Upernavik,GL,72.7868,-56.1549,5.29,94,100,4.34,overcast clouds
79,79,Lasa,IT,46.6166,10.7002,43.68,68,2,5.86,clear sky
80,80,Praya,CV,14.9215,-23.5087,72.14,68,0,10.36,clear sky
81,81,Dikson,RU,73.5069,80.5464,7.43,90,100,20.0,overcast clouds
82,82,Hobart,AU,-42.8794,147.3294,65.12,89,75,1.99,broken clouds
83,83,Viedma,AR,-40.8135,-62.9967,86.43,18,0,10.69,clear sky
84,84,East London,ZA,-33.0153,27.9116,74.44,90,17,18.1,few clouds
85,85,Cape Town,ZA,-33.9258,18.4232,76.12,77,100,6.53,overcast clouds
86,86,Barrow,US,71.2906,-156.7887,-11.18,70,75,11.5,broken clouds
87,87,Bethel,US,41.3712,-73.414,41.81,68,20,5.99,few clouds
88,88,Puerto Ayora,EC,-0.7393,-90.3518,85.96,73,69,10.63,broken clouds
89,89,Clyde River,CA,70.4692,-68.5914,-27.17,75,0,2.3,clear sky
90,90,Florianopolis,BR,-27.6146,-48.5012,83.25,80,75,3.0,light rain
91,91,Cayenne,GF,4.9333,-52.3333,82.44,85,0,1.99,clear sky
92,92,Mecca,SA,21.4267,39.8261,67.51,77,97,9.22,overcast clouds
93,93,Lagoa,PT,39.05,-27.9833,57.31,72,100,24.2,overcast clouds
94,94,Khatanga,RU,71.9667,102.5,-23.78,89,100,7.29,overcast clouds
95,95,Ilulissat,GL,69.2167,-51.1,10.42,56,20,25.32,few clouds
96,96,Cidreira,BR,-30.1811,-50.2056,80.4,73,1,13.38,clear sky
97,97,Allacapan,PH,18.226,121.5562,64.2,97,9,2.75,clear sky
98,98,Pangoa,PE,-12.1167,-73.0,79.11,70,92,1.92,overcast clouds
99,99,Laguna,US,38.421,-121.4238,70.45,62,0,3.0,clear sky
100,100,Snyder,US,32.7179,-100.9176,77.14,10,0,16.11,clear sky
101,101,Katsuura,JP,35.1333,140.3,39.31,47,50,1.43,scattered clouds
102,102,Buraydah,SA,26.326,43.975,57.65,32,1,10.74,clear sky
103,103,Richmond,US,37.5538,-77.4603,49.32,63,100,11.01,overcast clouds
