City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dingle,PH,2022-01-04 21:34:45,10.9995,122.6711,71.64,93,46,8.5
1,Norsup,VU,2022-01-04 21:34:45,-16.0667,167.3833,82.92,78,100,9.33
2,Mataura,NZ,2022-01-04 21:34:46,-46.1927,168.8643,54.48,97,94,4.72
3,Nelson Bay,AU,2022-01-04 21:34:46,-32.7167,152.15,75.25,92,60,1.99
4,Ushuaia,AR,2022-01-04 21:34:46,-54.8,-68.3,47.82,57,75,24.16
5,Carballo,ES,2022-01-04 21:34:47,43.213,-8.691,52.75,93,75,2.93
6,Ahipara,NZ,2022-01-04 21:34:47,-35.1667,173.1667,74.43,59,62,9.95
7,Stryn,NO,2022-01-04 21:34:47,61.9045,6.7226,36.32,91,78,4.47
8,Jumla,NP,2022-01-04 21:34:48,29.2747,82.1838,36.32,71,85,4.29
9,Albany,US,2022-01-04 21:33:40,42.6001,-73.9662,32.31,66,5,4.45
10,Flinders,AU,2022-01-04 21:34:48,-34.5833,150.8552,75.18,83,46,5.01
11,Hobart,AU,2022-01-04 21:34:49,-42.8794,147.3294,59.25,92,75,4.61
12,Bluff,NZ,2022-01-04 21:34:49,-46.6,168.3333,54.81,88,98,15.35
13,Ilulissat,GL,2022-01-04 21:34:49,69.2167,-51.1,39.22,33,75,11.5
14,Vaini,TO,2022-01-04 21:34:50,-21.2,-175.2,80.76,89,90,11.5
15,Ancud,CL,2022-01-04 21:34:50,-41.8697,-73.8203,63.43,62,60,10.87
16,Quatre Cocos,MU,2022-01-04 21:34:50,-20.2078,57.7625,78.91,82,79,10.58
17,Busselton,AU,2022-01-04 21:34:51,-33.65,115.3333,62.1,80,0,14.2
18,Rikitea,PF,2022-01-04 21:34:51,-23.1203,-134.9692,72.34,83,100,14.81
19,Comodoro Rivadavia,AR,2022-01-04 21:34:51,-45.8667,-67.5,60.66,55,20,17.27
